inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
PWEOEHNGYFXZLI-UHFFFAOYSA-N,CCN(C(=O)Oc1cccc(NC(=O)OC(C)C)c1)c1ccccc1,CCN(C(=O)Oc1cccc(NC(=O)OC(C)C)c1)c2ccccc2,57375-63-0,,,algae_growth_ec50,0.32,mg/L,-6.029076666029723,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2270364,2015,1,single,,
SYDNSSSQVSOXTN-UHFFFAOYSA-N,Cc1ccc(O)c([N+](=O)[O-])c1,Cc1ccc(O)c(c1)[N+]([O-])=O,119-33-5,,,algae_growth_ec50,18.73499399519519,mg/L,-3.9121587573365866,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,108013,2021,2,geomean,0.4949747468305833,
SUSQOBVLVYHIEX-UHFFFAOYSA-N,N#CCc1ccccc1,N#CCc1ccccc1,140-29-4,,,algae_growth_ec50,0.19,mg/L,-5.789646939338491,,Chlorella vulgaris,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Oocystaceae;Chlorella;Chlorella vulgaris,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2449031,2019,1,single,,
RJUFJBKOKNCXHH-UHFFFAOYSA-N,CCC(=O)OC,CCC(=O)OC,554-12-1,,,algae_growth_ec50,499.99999999999983,mg/L,-2.2457713389559237,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,172034,2021,2,geomean,0.0,
HOKKPVIRMVDYPB-UHFFFAOYSA-N,N#CN=C1SCCN1Cc1ccc(Cl)nc1,Clc1ccc(CN2CCSC2=NC#N)cn1,111988-49-9,,,algae_growth_ec50,45.0,mg/L,-3.7482287746149177,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2115207,2013,1,single,,
WYVVKGNFXHOCQV-UHFFFAOYSA-N,CCCCNC(=O)OCC#CI,CCCCNC(=O)OCC#CI,55406-53-6,,,algae_growth_ec50,0.04631414470763766,mg/L,-6.78297918917899,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2524480,2020,2,geomean,0.24071720210605874,
AWYFNIZYMPNGAI-UHFFFAOYSA-N,S=C(S)NCCNC(=S)S,[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S,8018-01-7,,,algae_growth_ec50,11.85,mg/L,-4.252529479707973,,Chlorella vulgaris,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Oocystaceae;Chlorella;Chlorella vulgaris,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2344339,2016,1,single,,
HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1,O=Cc1ccccc1,100-52-7,,,algae_growth_ec50,0.09165151389911678,mg/L,-6.0633377134352475,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2449020,2019,2,geomean,1.1727624663581762,high_cv
VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,56-23-5,,,algae_growth_ec50,21.0,mg/L,-3.8592681706821366,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2389807,2022,1,single,,
OTVAEFIXJLOWRX-NXEZZACHSA-N,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,15318-45-3,,,algae_growth_ec50,68.00676436943611,mg/L,-3.717682111424731,,Chlorella vulgaris,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Oocystaceae;Chlorella;Chlorella vulgaris,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2011371,2012,2,geomean,1.3670073981767885,high_cv
