inchikey,smiles_canonical,algae_growth_ec50_value_log,bcf_value_log,bee_acute_contact_ld50_value_log,bee_acute_oral_ld50_value_log,bird_acute_oral_ld50_value_log,daphnia_acute_ec50_value_log,earthworm_acute_lc50_value_log,fish_acute_lc50_value_log,rat_acute_oral_ld50_value_log,skin_sensitization_value_log,soil_dt50_value_log,soil_koc_value_log,presence_count
MEBQXILRKZHVCX-UHFFFAOYSA-N,COc1nn(CSP(=S)(OC)OC)c(=O)s1,,0.74,-0.6270879970298935,,,,,,-1.1789220910868763,,,1.53,4
FOXFZRUHNHCZPX-UHFFFAOYSA-N,CSc1nnc(C(C)(C)C)c(=O)n1N,,,,1.6989700043360187,2.214843848047698,,,,0.17726185875797423,,,1.71,4
NNCAWEWCFVZOGF-UHFFFAOYSA-N,C[N+]1(C)CCCCC1,,,1.6989700043360187,,3.211786759866368,,,,0.37397260040194247,,,6.0,4
HAORKNGNJCEJBX-UHFFFAOYSA-N,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,,,2.8943160626844384,,2.8996566681120064,-6.84727682923689,,-4.9438856360570025,,,,,4
WNTGYJSOUMFZEP-UHFFFAOYSA-N,Cc1cc(Cl)ccc1OC(C)C(=O)O,,,1.6989700043360187,,2.98002958442866,,,,0.5847577765063094,,,1.3,4
WHKUVVPPKQRRBV-UHFFFAOYSA-N,Cc1cc(Cl)ccc1OCC(=O)O,,,1.6989700043360187,2.0199466816788423,,,,,0.6315326597430928,,,1.73,4
LLWADFLAOKUBDR-UHFFFAOYSA-N,Cc1cc(Cl)ccc1OCCCC(=O)O,,,2.1178841796307144,1.6989700043360187,,,,,0.4807632648604435,,,2.73,4
URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,,1.17,,,,-4.33741178486598,,-4.263234263141373,,,,2.41,4
RZXMPPFPUUCRFN-UHFFFAOYSA-N,Cc1ccc(N)cc1,,,,,,-5.950500750114535,,-2.8265908067599455,0.7879392063664195,,,1.9,4
IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,-5.992262290185886,,,,,-4.147164250171629,,-3.8745693724812256,,,,2.7,4
RMBFBMJGBANMMK-UHFFFAOYSA-N,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],,0.96,,,1.7403626894942439,,,-3.7627522705944614,0.16960273398527279,,,,4
IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,,1.17,,,,-4.230188211165006,,,1.6734305067848192,,,2.25,4
DQJCHOQLCLEDLL-UHFFFAOYSA-N,Cc1cccc2sc3nncn3c12,,,,1.6989700043360187,3.3376588910261424,,,-4.6782974365763454,,,,3.09,4
YFGYUFNIOHWBOB-UHFFFAOYSA-N,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,,,,0.8606374167737547,1.7297926686140102,,,,-0.3768377762345929,,,1.9,4
VAOCPAMSLUNLGC-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CCO,,,,,3.6989700043360187,-2.571018388336487,,-2.7331596159853335,1.243961638734329,,,,4
LDLCEGCJYSDJLX-OWOJBTEDSA-N,Cl/C=C/C[N+]12CN3CN(CN(C3)C1)C2,,,,,3.2454004760054276,-3.815940244126348,,-3.963087752859238,0.3663178824661964,,,,4
UOORRWUZONOOLO-UPHRSURJSA-N,Cl/C=C\CCl,,,,,2.1818435879447726,-5.167953198032228,,-4.591959672937564,-0.13011268876104096,,,,4
VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,-3.8592681706821366,0.87,,,,,,-3.618338961971083,,,,1.85,4
GVYLCNUFSHDAAW-UHFFFAOYSA-N,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,,4.31,0.8543060418010806,,,,,,-0.36102519104360076,,,6.0,4
FRCCEHPWNOQAEU-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,,3.94,-0.2790142558462609,,,,,,-0.9659316875660143,,,4.38,4
CKAPSXZOOQJIBF-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,,4.33,,,,,,-4.77367331869442,1.094106842274562,,,3.74,4
BTAGRXWGMYTPBY-UHFFFAOYSA-N,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,,,,,3.3010299956639813,,,-6.0699202567771975,0.5602491074202081,,,5.66,4
PBKONEOXTCPAFI-UHFFFAOYSA-N,Clc1ccc(Cl)c(Cl)c1,,3.32,,,,-4.7744063513386115,,,0.6234181355652196,,,3.1,4
WRPIRSINYZBGPK-UHFFFAOYSA-N,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,,,,1.2873537727147464,3.3521825181113627,-6.5280923112200995,,-5.9900318194675455,,,,,4
RQDJADAKIFFEKQ-UHFFFAOYSA-N,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,,,,0.48287358360875376,3.3324384599156054,-5.164758991410139,,-5.522186741546773,,,,,4
RONFGUROBZGJKP-UHFFFAOYSA-N,N=C(N)NCCCCCCCCNCCCCCCCCN=C(N)N,,,1.6989700043360187,1.6989700043360187,1.8976270912904414,,,,-0.07352570848394449,,,,4
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,,,,,3.3038437748886547,-6.903265045039837,,-5.677493075551592,0.36927641281270657,,,,4
HSSBORCLYSCBJR-UHFFFAOYSA-N,Nc1cc(Cl)cc(C(=O)O)c1Cl,,,,,3.3010299956639813,-2.311689736999945,,-2.311689736999945,,,,1.48,4
SDYWXFYBZPNOFX-UHFFFAOYSA-N,Nc1ccc(Cl)c(Cl)c1,,1.11,,,1.9960298284110767,,,,0.5175042041327914,,,2.29,4
TYMLOMAKGOJONV-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1,,0.6,,,,-3.909565239282344,,,0.7350471027310822,,,1.88,4
PNPCRKVUWYDDST-UHFFFAOYSA-N,Nc1cccc(Cl)c1,,0.35,,,,-5.559800223945322,,-3.832682665251824,0.3043716970162521,,,,4
NUKYPUAOHBNCPY-UHFFFAOYSA-N,Nc1ccncc1,,0.66,,,0.933811536603172,-4.468223127845363,,,-0.6477340991661964,,,,4
YTYGAJLZOJPJGH-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)c(Cl)c1F,,,1.6989700043360187,,3.3010299956639813,-9.234057708105892,,-5.492527989223454,,,,,4
NJPPVKZQTLUDBO-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,,,2.1760912590556813,,3.3010299956639813,-8.057498698843464,,-5.102415336199367,,,,,4
OVSKIKFHRZPJSS-UHFFFAOYSA-N,O=C(O)COc1ccc(Cl)cc1Cl,,,,1.2385606273598313,2.6989700043360187,,,,0.3862166845682343,,,1.66,4
XZIDTOHMJBOSOX-UHFFFAOYSA-N,O=C(O)c1c(Cl)ccc(Cl)c1Cl,,0.54,,,3.1505149978319906,,,-4.420673692820974,0.6643149663881767,,,,4
NUFNQYOELLVIPL-UHFFFAOYSA-N,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],,,1.8494850021680094,,,,,-3.638424880447977,0.5678289869075709,,,2.05,4
WPYMKLBDIGXBTP-UHFFFAOYSA-N,O=C(O)c1ccccc1,,,1.0969100130080565,,,,,-2.7440680572061242,1.5159460693594295,,,1.5,4
RWCCWEUUXYIKHB-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccccc1,,1.08,,,,,,-4.128671941691625,1.018507659426332,,,2.63,4
SVPKNMBRVBMTLB-UHFFFAOYSA-N,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,,,,,3.3010299956639813,,,-6.423800428697286,-0.14990934375309656,,,3.98,4
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,O=CCCCC=O,,,,,3.0733006520274357,-4.480520579150241,,-3.9013207178868057,0.12687715962649831,,,,4
UDPGUMQDCGORJQ-UHFFFAOYSA-N,O=P(O)(O)CCCl,,,1.74853687350067,,2.896706912231854,,,,1.2786657980319944,,,0.0,4
HQUQLFOMPYWACS-UHFFFAOYSA-N,O=P(OCCCl)(OCCCl)OCCCl,,0.11,,,,-3.2133789703213282,,-3.1315079650220885,0.21467188021684733,,,,4
QAOWNCQODCNURD-UHFFFAOYSA-N,O=S(=O)(O)O,,,1.8494850021680094,1.8998760947731554,2.7895807121644256,-5.8328299817467535,,,,,,,4
MLGCXEBRWGEOQX-UHFFFAOYSA-N,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl,,,,0.6989700043360189,3.3010299956639813,,,-5.497528685778625,0.20395518317871364,,,,4
LFHISGNCFUNFFM-UHFFFAOYSA-N,O=[N+]([O-])C(Cl)(Cl)Cl,,,2.0,,1.792391689498254,,,,-0.6378883803407036,,,1.79,4
LKPLKUMXSAEKID-UHFFFAOYSA-N,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,,2.74,2.0,,,,,,0.5747664889935178,,,3.98,4
CZGCEKJOLUNIFY-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Cl)cc1,,1.3,,,,-4.764516679417576,,-4.0197891845208815,0.46687738810501106,,,,4
UFBJCMHMOXMLKC-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,-4.321351679834143,0.57,,,,-4.513804634629579,,,-0.7877249410205829,,,,4
IQUPABOKLQSFBK-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1O,,1.34,1.6989700043360187,,3.0195316845312554,,,,0.3806474933847449,,,,4
CEJLBZWIKQJOAT-UHFFFAOYSA-N,O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,,,,,3.248216830342066,-5.8471747913686025,,-5.81402979535575,0.8932995744274018,,,,4
ZTMKADLOSYKWCA-UHFFFAOYSA-N,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,,,,2.6989700043360187,3.3010299956639813,,,,1.6719229551039279,,,2.14,4
LNDUTAIPEYOCDF-UHFFFAOYSA-N,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,,,,,-0.003330037220869192,-5.726513523469508,,-6.773201786566092,-3.513619616506078,,,,4
VSVAQRUUFVBBFS-UHFFFAOYSA-N,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)sc2ccccc12,,,,,0.39633589457078366,-8.087378202792443,,-6.939515159533813,-2.990468189784387,,,,4
KGBXLFKZBHKPEV-UHFFFAOYSA-N,OB(O)O,,,2.6989700043360187,,3.399673721481038,-2.1702496969067147,,-2.054137322321602,,,,,4
HUHGPYXAVBJSJV-UHFFFAOYSA-N,OCCN1CN(CCO)CN(CCO)C1,,,,,3.1818435879447726,-3.9241173988562355,,-3.496711056833874,0.541766631760364,,,,4
IZUPBVBPLAPZRR-UHFFFAOYSA-N,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,,2.7199999999999998,1.6843066460716316,,,,,,-0.8358914360299559,,,4.3,4
NCKMMSIFQUPKCK-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cc1ccccc1,,,,,3.399673721481038,-5.567703765974076,,-5.650632559461642,0.8918931437620541,,,,4
BBEAQIROQSPTKN-UHFFFAOYSA-N,c1cc2ccc3cccc4ccc(c1)c2c34,,3.18,,,,-7.110418060331407,,,1.1258441912389965,,,4.9,4
WJCNZQLZVWNLKY-UHFFFAOYSA-N,c1ccc2[nH]c(-c3cscn3)nc2c1,,,,0.6020599913279624,3.3521825181113627,,,,1.1014385324735605,,,3.24,4
DIKBFYAXUHHXCS-UHFFFAOYSA-N,BrC(Br)Br,,1.13,,,,,,,0.5723538261081458,,,2.06,3
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,,1.36,,,,,,,1.1841178826133072,,,2.49,3
PHNUZKMIPFFYSO-UHFFFAOYSA-N,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,,,1.6989700043360187,3.8180938691466357,,,,,,,2.31,3
NNBZCPXTIHJBJL-UHFFFAOYSA-N,C1CCC2CCCCC2C1,,3.245,,,,,,,1.4798139292097683,,,3.67,3
XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,,1.92,,,,,,,2.179210173298818,,1.8293037728310249,,3
YNAVUWVOSKDBBP-UHFFFAOYSA-N,C1COCCN1,,0.45,,,,,,-3.0950795966374733,1.0813286659148666,,,,3
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,,-0.3,,,,,,,1.6785079471059579,,,1.23,3
JUVIOZPCNVVQFO-KDWTUPFUSA-N,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4C2C3=O)O1,,1.41,,,,,,,-1.1977123089201651,,,4.0,3
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,,1.11,,,,,,,-0.07897017932965575,,,1.81,3
VJFUPGQZSXIULQ-UHFFFAOYSA-N,C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)CC1=O,,,-0.3010299956639812,-0.8239087409443188,3.0612563991260684,,,,,,,,3
HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,,,,,1.2284766697560154,-6.087257263284658,,,-0.7050290035649798,,,,3
JRZJOMJEPLMPRA-UHFFFAOYSA-N,C=CCCCCCCC,,3.17,,,,-4.595705776823346,,-4.430755769596648,,,,,3
PZBPKYOVPCNPJY-UHFFFAOYSA-N,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,,,,1.9542425094393248,,,,,-0.11533674141349752,,,3.73,3
RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1,,,2.6989700043360187,,4.0,,,,1.0704917900195134,,,,3
FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)Nc1ccccc1,,,,,,,,-3.1305538000265387,0.7725361869654048,,,1.43,3
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,,,,,,,,-3.3382923271059264,1.5101686376736285,,,0.0,3
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,CC(=O)Oc1ccccc1C(=O)O,,,,,,-2.9213205328335903,,-2.658964739217183,0.8501357319897161,,,,3
DWFZBUWUXWZWKD-UHFFFAOYSA-N,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,,,-0.03763066432997889,,3.367435014964921,,,,0.19460931575574225,,,,3
XMNIXWIUMCBBBL-UHFFFAOYSA-N,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,,2.62,,,,,,-4.568964459773874,1.1811596262540522,,,,3
CRDAMVZIKSXKFV-YFVJMOTDSA-N,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,,,,,3.3324384599156054,-5.00431817901312,,-5.0914683547320205,,,,,3
FROBCXTULYFHEJ-UHFFFAOYSA-N,CC(C)=NOCCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,,,,1.6989700043360187,3.3010299956639813,,,,1.0525307995207949,,,,3
GBIHOLCMZGAKNG-UHFFFAOYSA-N,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,,,-0.3010299956639812,,,,,,-0.8282553180830371,,,5.0,3
MFOUDYKPLGXPGO-UHFFFAOYSA-N,CC(C)N(C(=O)CCl)c1ccccc1,,,2.225309281725863,,,,,,0.5268186872111787,,,2.42,3
MWBPRDONLNQCFV-UHFFFAOYSA-N,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,,,1.4861469968065726,,3.1931245983544616,,,,,,,3.35,3
WJNRPILHGGKWCK-UHFFFAOYSA-N,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,,,1.9853815602319969,,,,,,1.2242882724276924,,,2.4,3
PTCGDEVVHUXTMP-UHFFFAOYSA-N,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,,1.29,2.6989700043360187,,3.170336454342661,,,,,,,,3
QCFYJCYNJLBDRT-UHFFFAOYSA-N,CC(CCl)OC(C)CCl,,1.08,,,,,,,0.14969457474834486,,,1.67,3
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,,0.7,,,,,,,1.8619275615226372,,,1.95,3
KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(Cl)CCl,,0.85,,,,,,,1.2402074330072956,,,1.67,3
YNTJKQDWYXUTLZ-UHFFFAOYSA-N,CC(Oc1cccc(Cl)c1)C(=O)O,,,,,3.399673721481038,-2.3458756177264077,,-2.637639891277451,,,,,3
RLLPVAHGXHCWKJ-KKFHFHRHSA-N,CC1(C)C(C(=O)OCc2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Cl)Cl,,2.65,,,3.9283874239839456,-8.487909725914701,,,,,,,3
XWPZUHJBOLQNMN-UHFFFAOYSA-N,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,,,,1.9444826721501687,2.9237619608287004,,,-4.985474295428699,,,,,3
FWCBATIDXGJRMF-FLNNQWSLSA-N,CC1(C)OC[C@@H]2O[C@@]3(C(=O)O)OC(C)(C)O[C@H]3[C@@H]2O1,,,,,,-1.4379173583799698,,-1.5884323562119604,1.8173551467233362,,,,3
QXJKBPAVAHBARF-UHFFFAOYSA-N,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-5.698995606932188,,1.6989700043360187,,,,,,,,,3.18,3
PHVNLLCAQHGNKU-UHFFFAOYSA-N,CC1=C(C)S(=O)(=O)CCS1(=O)=O,,,2.0,,,,,,0.3767464684269824,,,0.48,3
HJOVHMDZYOCNQW-UHFFFAOYSA-N,CC1=CC(=O)CC(C)(C)C1,,0.3,,,,,,,1.0358835390357328,,,1.4,3
WUOACPNHFRMFPN-UHFFFAOYSA-N,CC1=CCC(C(C)(C)O)CC1,,,1.6989700043360187,,,,,-1.3899437790503673,1.4855760765491972,,,,3
JXVIIQLNUPXOII-UHFFFAOYSA-N,CC1CCCCC1NC(=O)Nc1ccccc1,,,2.0430870721663292,,,,,,1.3332740178115605,,,2.31,3
BZGLBXYQOMFXAU-UHFFFAOYSA-N,CC1CCCCN1CCCOC(=O)c1ccc(Cl)c(Cl)c1,,,1.6989700043360187,,,,,,0.3857687897010628,,,3.7,3
ONKNPOPIGWHAQC-UHFFFAOYSA-N,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,-5.56376275635079,,,,,-4.983170977101829,,-4.763593477617852,,,,,3
SXLBEAVIHFLZQB-UHFFFAOYSA-N,CCC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],,,1.6073477767684134,,,,,-7.115014724905062,-0.0321457805321988,,,,3
PMHURSZHKKJGBM-UHFFFAOYSA-N,CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,,,1.6989700043360187,,3.3010299956639813,,,,,,,2.4,3
DIRFUJHNVNOBMY-UHFFFAOYSA-N,CCC(C)c1ccccc1OC(=O)NC,,1.41,,,,,,,0.22783357547635644,,,1.71,3
ZZXUZKXVROWEIF-UHFFFAOYSA-N,CCC1COC(=O)O1,-3.11769193485271,,,,,-2.107061081337349,,-2.4017515187682617,,,,,3
VOZIAWLUULBIPN-HNQZODOTSA-N,CCC1O[C@]2(CCC1C)C[C@@H]1C[C@@H](C/C=C(\C)CC(C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=CC(C(=O)O1)[C@]34O)O2,,,,,2.973226132506537,-6.922634462258228,,-7.159846331646381,,,,,3
GOJRHLKLWMSXMB-UHFFFAOYSA-N,CCCC(=NOCC)C1C(=O)CC(C2CCCSC2)CC1=O,,,1.6989700043360187,,2.9986057914162525,,,,1.0833841952248444,,,,3
NMHGOXYVOKDNHF-UHFFFAOYSA-N,CCCC(=NOCC)C1C(=O)CC(CC(C)SCC)CC1=O,,,2.021602716028242,,,,,,0.9126903152584602,,,2.0,3
PGMZYNZXIYOOHJ-UHFFFAOYSA-N,CCCC(=O)Oc1c(Br)cc(C#N)cc1Br,,,,1.6989700043360187,2.451001445675365,,,,,,,3.03,3
BXJHOKLLMOYSRQ-WFKFFMJQSA-N,CCCC/C=C/CC/C=C\CCCCCCOC(C)=O,,,,,3.4612850055101374,-5.735079110698084,,-3.95764611978828,,,,,3
SAOKZLXYCUGLFA-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,,,,,,,,-5.16105258289956,1.297723881233467,,,4.19,3
CGSLYBDCEGBZCG-UHFFFAOYSA-N,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,,2.49,,,,-6.382814853706016,,-4.934419482551544,,,,,3
BHZWBQPHPLFZSV-UHFFFAOYSA-N,CCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,,,,,2.804314723715929,-7.096289737248691,,-7.125253433184008,,,,,3
OLZQTUCTGLHFTQ-UHFFFAOYSA-N,CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,,,1.7958800173440752,,3.3010299956639813,,,,1.13546741538567,,,,3
FBUKVWPVBMHYJY-UHFFFAOYSA-N,CCCCCCCCC(=O)O,,,1.3979400086720377,,3.3521825181113627,-3.2167449049645693,,,,,,,3
KYWIYKKSMDLRDC-UHFFFAOYSA-N,CCCCCCCCCC(C)=O,,,,,3.3521825181113627,-5.498481749320908,,-4.905731572974123,,,,,3
CJTZDYDOPZRFTF-UHFFFAOYSA-N,CCCCCCCCCCC(C)c1ccc(S(=O)(=O)O)cc1,,,,,,-4.667524091757871,,-4.820802025710322,0.12700870946661894,,,,3
MRUAUOIMASANKQ-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],-4.790098999115095,,,,,-4.554843607533676,,-4.744811270073345,,,,,3
POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)O,,2.4,,,3.4096591647706878,,,-4.594339929318158,,,,,3
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,CCCCCCCCCCCCCCO,,,,1.6989700043360187,3.311753861055754,,,,1.3681772447015816,,,,3
HILAYQUKKYWPJW-UHFFFAOYSA-N,CCCCCCCCCCCCN=C(N)N,,,2.025490196439559,,2.9525435504087816,,,,0.3963390126134724,,,,3
KUXGUCNZFCVULO-UHFFFAOYSA-N,CCCCCCCCCc1ccc(OCCO)cc1,,,,,3.230448921378274,,,-4.865712022804155,0.9002718022606939,,,,3
MQIUGAXCHLFZKX-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,,,,,,,,-6.938160454989271,2.080724889171103,,,4.38,3
MELGLHXCBHKVJG-UHFFFAOYSA-N,CCCCCCCC[N+](C)(C)CCCCCCCC,,,,,2.324862092964761,-6.431870991930715,,-4.987886526833648,,,,,3
BBMCTIGTTCKYKF-UHFFFAOYSA-N,CCCCCCCO,,,,,,,,-3.42630783959376,0.6340625465772827,,,1.14,3
BMVXCPBXGZKUPN-UHFFFAOYSA-N,CCCCCCN,,,,,,-4.0703405401362955,,-3.2520225601915915,0.8212358113209632,,,,3
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,,,,,,,,-2.929841368699482,1.4974602980359528,,,1.01,3
HQABUPZFAYXKJW-UHFFFAOYSA-N,CCCCN,,,,,,-2.863852907377443,,-2.743379718584949,,,,1.88,3
CCGPUGMWYLICGL-UHFFFAOYSA-N,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,,,1.6989700043360187,,,,,,0.6035407430652903,,,3.4,3
DOIRQSBPFJWKBE-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OCCCC,,2.22,,,,,,,1.3550586603840955,,,3.14,3
HKPHPIREJKHECO-UHFFFAOYSA-N,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,,,1.6989700043360187,,,,,,0.7475582183209288,,,2.86,3
ZOKXUAHZSKEQSS-UHFFFAOYSA-N,CCCCSP(=O)(SCCCC)SCCCC,,,1.6989700043360187,,,,,,-0.32097137495506306,,,3.7,3
BBXXLROWFHWFQY-UHFFFAOYSA-N,CCCCc1c(C)[nH]c(NCC)nc1=O,,,,0.6989700043360189,3.4771212547196626,,,,1.28159628293299,,,,3
GUVLYNGULCJVDO-UHFFFAOYSA-N,CCCN(CCC)C(=O)SCC,,,,1.041392685158225,,,,,0.6851609188942334,,,2.38,3
NQLVQOSNDJXLKG-UHFFFAOYSA-N,CCCN(CCC)C(=O)SCc1ccccc1,,,1.6989700043360187,,3.2649460620972723,,,,0.8601652076489275,,,,3
UNAHYJYOSSSJHH-UHFFFAOYSA-N,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],,,,1.6989700043360187,2.8668537571404173,,,,,,,3.4,3
MNFMIVVPXOGUMX-UHFFFAOYSA-N,CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],,,1.6989700043360187,,,,,,0.6400364710720027,,,3.55,3
TVLSRXXIMLFWEO-UHFFFAOYSA-N,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,,,,2.6989700043360187,3.055891274411227,,,,,,,2.7,3
UNLYSVIDNRIVFJ-UHFFFAOYSA-N,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,,,1.6989700043360187,,,,,,-0.03738323651640742,,,3.44,3
WXZVAROIGSFCFJ-UHFFFAOYSA-N,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,,,1.6989700043360187,,3.4118360140042725,,,,,,,2.76,3
RGCLLPNLLBQHPF-UHFFFAOYSA-N,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,,,-1.8239087409443189,,,,,,-1.5726813201141039,,,0.85,3
QHOQHJPRIBSPCY-UHFFFAOYSA-N,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,,,,-0.44369749923271273,,,,,0.6124730733996298,,,3.0,3
AMRQXHFXNZFDCH-UHFFFAOYSA-N,CCNC(=O)C(C)OC(=O)Nc1ccccc1,,,,1.6989700043360187,3.190105620855803,,,,1.6682670979516077,,,,3
MZZBPDKVEFVLFF-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,,,1.6989700043360187,,,,,,-0.20718603428479074,,,2.28,3
FZXISNSWEXTPMF-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)(C)C)n1,,,,1.6989700043360187,3.196524233208389,,,,,,,2.32,3
IVENSCMCQBJAKW-UHFFFAOYSA-N,CCNc1nc(N)nc(Cl)n1,-7.937133634582578,,,,,-3.7003445351732847,,-5.7610423755268965,,,,,3
IROINLKCQGIITA-UHFFFAOYSA-N,CCNc1nc(NC(C)(C)C)nc(SC)n1,,,2.3736474722092176,,,,,,0.928431049834602,,,2.85,3
RQVYBGPQFYCBGX-UHFFFAOYSA-N,CCNc1nc(NC(C)C)nc(SC)n1,,,1.9927522846660422,,,,,,0.6690495936314506,,,2.59,3
