inchikey,smiles_canonical,algae_growth_ec50_value_log,bcf_value_log,bee_acute_contact_ld50_value_log,bee_acute_oral_ld50_value_log,bird_acute_oral_ld50_value_log,daphnia_acute_ec50_value_log,earthworm_acute_lc50_value_log,fish_acute_lc50_value_log,rat_acute_oral_ld50_value_log,skin_sensitization_value_log,soil_dt50_value_log,soil_koc_value_log,presence_count
YOYAIZYFCNQIRF-UHFFFAOYSA-N,N#Cc1c(Cl)cccc1Cl,,,2.0822825899124378,,2.6126533783979413,-4.446040845546996,,,1.200063974138993,,,2.5,5
ZOCSXAVNDGMNBV-UHFFFAOYSA-N,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,,,-2.221848749616356,,2.0349407429031743,-6.764907649936222,,-6.399598322496741,-0.6756376038235489,,,,5
NQQVFXUMIDALNH-UHFFFAOYSA-N,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,,,1.5806840011174874,1.6989700043360187,3.3521825181113627,,,,0.4562467833269225,,,1.3,5
QQQYTWIFVNKMRW-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,,2.2,,0.9590413923210935,3.4930957721587235,,,,0.4062204830148654,,,3.83,5
XZZNDPSIHUTMOC-UHFFFAOYSA-N,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,-5.21228190745942,2.28,,,,-5.513054346502337,,-5.5021860225567005,1.0307561412268744,,,,5
RDYMFSUJUZBWLH-UHFFFAOYSA-N,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,,,1.2410481506716444,,1.7885988498120755,,,-8.477091710043606,-1.3509119650992463,,,4.11,5
YHILKALTPHRGSY-UHFFFAOYSA-N,Oc1c2c(c(O)n1SC(Cl)(Cl)Cl)CC=CC2,,1.98,,2.0293837776852097,3.3010299956639813,,,,1.478667003480933,,,2.3,5
MCJGNVYPOGVAJF-UHFFFAOYSA-N,Oc1cccc2cccnc12,,,,1.6989700043360187,2.9287612282476396,-5.95201099374781,,-6.472786866467158,0.9176552377571842,,,,5
NWBJYWHLCVSVIJ-UHFFFAOYSA-N,c1ccc(CNc2ncnc3[nH]cnc23)cc1,,,1.3979400086720377,,3.2038484637462346,-4.040624422511549,,-4.021964510218112,0.7615650687395341,,,,5
FOUWCSDKDDHKQP-UHFFFAOYSA-N,C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,,,2.0211892990699383,,3.2947346547486376,-4.808765181441744,,-4.707154305560231,,,,,4
FZRBKIRIBLNOAM-UHFFFAOYSA-N,C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,,,1.6989700043360187,,,-6.44123771568393,,-3.2138951544765195,1.248958364344584,,,,4
ZYHMJXZULPZUED-UHFFFAOYSA-N,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,,,1.7103712642607627,,3.6665179805548807,,,,0.7981621249939033,,,3.6,4
BGRWYDHXPHLNKA-UHFFFAOYSA-N,CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O,,,,,3.3010299956639813,-2.3581462417017045,,-3.2120182060234663,1.5416742607253917,,,,4
RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)Nc1ccc(O)cc1,,,,,3.3521825181113627,-4.103769486455101,,,1.1095372108830366,,1.7403626894942439,,4
