inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
NAGRVUXEKKZNHT-UHFFFAOYSA-N,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(Cl)nc3ccccn23)n1,COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2n3ccccc3nc2Cl)n1,122548-33-8,,,daphnia_acute_ec50,32.0,mg/L,-4.10978483228045,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2114195,2013,1,single,,
DJRKHTCUXRGYEU-UHFFFAOYSA-N,CCCCCCOc1ccc(N)cc1,CCCCCCOc1ccc(N)cc1,39905-57-2,,,daphnia_acute_ec50,0.36,mg/L,-5.729584711222315,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,199598,2001,1,single,,
PNPCRKVUWYDDST-UHFFFAOYSA-N,Nc1cccc(Cl)c1,Nc1cccc(Cl)c1,108-42-9,,,daphnia_acute_ec50,0.35,mg/L,-5.559800223945322,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2455607,2025,1,single,,
FBUKVWPVBMHYJY-UHFFFAOYSA-N,CCCCCCCCC(=O)O,CCCCCCCCC(O)=O,112-05-0,,,daphnia_acute_ec50,96.0,mg/L,-3.2167449049645693,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109994,2013,1,single,,
WPALTCMYPARVNV-UHFFFAOYSA-N,CCc1nn(C)c(C(=O)NCc2ccc(Oc3ccc(C)cc3)cc2)c1Cl,CCc1nn(C)c(C(=O)NCc2ccc(Oc3ccc(C)cc3)cc2)c1Cl,129558-76-5,,,daphnia_acute_ec50,0.0010954451150103327,mg/L,-8.543766933795748,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2114168,2013,2,geomean,0.12856486930664493,
XQUXKZZNEFRCAW-UHFFFAOYSA-N,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,39515-41-8,,,daphnia_acute_ec50,0.0012397580409095963,mg/L,-8.449697244844408,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2100161,2013,2,geomean,0.9771679716688733,high_cv
SBASXUCJHJRPEV-UHFFFAOYSA-N,COCCOCCO,COCCOCCO,111-77-3,,,daphnia_acute_ec50,930.0,mg/L,-2.110982827277935,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2113932,2013,1,single,,
KRMDCWKBEZIMAB-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2CCc2ccccc21,[H+].[Cl-].CN(C)CCC=C1c2ccccc2CCc3ccccc13,549-18-8,,,daphnia_acute_ec50,4.82,mg/L,-4.759719630589811,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2215447,2014,1,single,,
MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,CCCCCCCCCCO,112-30-1,,,daphnia_acute_ec50,6.51,mg/L,-4.385535068108514,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2103083,2013,1,single,,
HAORKNGNJCEJBX-UHFFFAOYSA-N,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,Cc1cc(nc(Nc2ccccc2)n1)C3CC3,121552-61-2,,,daphnia_acute_ec50,0.032,mg/L,-6.84727682923689,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2099498,2013,1,single,,
GUQMDNQYMMRJPY-UHFFFAOYSA-N,CC1(C)COCN1,CC1(C)COCN1,51200-87-4,,,daphnia_acute_ec50,45.0,mg/L,-3.3514701801485782,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109697,2013,1,single,,
VOZIAWLUULBIPN-HNQZODOTSA-N,CCC1O[C@]2(CCC1C)C[C@@H]1C[C@@H](C/C=C(\C)CC(C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=CC(C(=O)O1)[C@]34O)O2,CCC1O[C@]2(CCC1C)C[C@@H]3C[C@@H](C\C=C(/C)CC(C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O3)[C@]45O)C)O2,51596-11-3,,,daphnia_acute_ec50,0.06480740698407862,mg/L,-6.922634462258228,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2099089,2013,2,geomean,1.3484361873789974,high_cv
SOONNKHXNUDREF-UHFFFAOYSA-N,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,111381-89-6,,,daphnia_acute_ec50,0.358402463421572,mg/L,-6.037001982711138,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,208586,2002,4,geomean,0.8824704352403682,high_cv
MYMSJFSOOQERIO-UHFFFAOYSA-N,CCCCCCCCCCBr,CCCCCCCCCCBr,112-29-8,,,daphnia_acute_ec50,0.11585832883057857,mg/L,-6.278658572089964,,Daphnia pulex,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,154336,2018,3,geomean,0.8419691425682042,"high_cv,species_secondary"
RGHHSNMVTDWUBI-UHFFFAOYSA-N,O=Cc1ccc(O)cc1,Oc1ccc(C=O)cc1,123-08-0,,,daphnia_acute_ec50,49.3,mg/L,-3.3936438187511,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,239719,2007,1,single,,
WXNZTHHGJRFXKQ-UHFFFAOYSA-N,Oc1ccc(Cl)cc1,Oc1ccc(Cl)cc1,106-48-9,,,daphnia_acute_ec50,2.5,mg/L,-4.709279774766644,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2455377,2019,1,single,,
CDLBFJPSMMOYOX-UHFFFAOYSA-N,CCCCC(CC)Cn1c(O)c2c(c1O)C1C=CC2C1,CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O,113-48-4,,,daphnia_acute_ec50,2.3,mg/L,-5.077902490789853,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109736,2013,1,single,,
WGYKZJWCGVVSQN-UHFFFAOYSA-N,CCCN,CCCN,107-10-8,,,daphnia_acute_ec50,100.0,mg/L,-2.771392697562654,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,199577,2001,1,single,,
KMAQZIILEGKYQZ-UHFFFAOYSA-N,O=[N+]([O-])c1cccc(Cl)c1,[O-][N+](=O)c1cccc(Cl)c1,121-73-3,,,daphnia_acute_ec50,4.5,mg/L,-4.54266792980122,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,75313,2018,1,single,,
HQABUPZFAYXKJW-UHFFFAOYSA-N,CCCCN,CCCCN,109-73-9,,,daphnia_acute_ec50,100.0,mg/L,-2.863852907377443,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,199579,2001,1,single,,
LDLCEGCJYSDJLX-OWOJBTEDSA-N,Cl/C=C/C[N+]12CN3CN(CN(C3)C1)C2,[Cl-].Cl/C=C/C[N+]12CN3CN(CN(C3)C1)C2,4080-31-3,,,daphnia_acute_ec50,32.86335345030996,mg/L,-3.815940244126348,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109914,2013,2,geomean,0.2743996464306005,
APTZNLHMIGJTEW-UHFFFAOYSA-N,CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,CCOC(=O)COc1cc(c(F)cc1Cl)c2nn(C)c(OC(F)F)c2Cl,129630-19-9,,,daphnia_acute_ec50,0.76,mg/L,-5.734105176573819,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2106629,2013,1,single,,
UUGLSEIATNSHRI-UHFFFAOYSA-N,O=C1N(CO)C2C(N1CO)N(CO)C(=O)N2CO,OCN1C2C(N(CO)C1=O)N(CO)C(=O)N2CO,5395-50-6,,,daphnia_acute_ec50,100.0,mg/L,-3.4184526615981192,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2113927,2013,1,single,,
AAPVQEMYVNZIOO-UHFFFAOYSA-N,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,ClC1=C(Cl)C2(Cl)C3CO[S](=O)(=O)OCC3C1(Cl)C2(Cl)Cl,1031-07-8,,,daphnia_acute_ec50,0.92,mg/L,-5.659266809754644,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,745045,2009,1,single,,
ODCWYMIRDDJXKW-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NCC)n1,CCNc1nc(Cl)nc(NCC)n1,122-34-9,,,daphnia_acute_ec50,1.9621416870348585,mg/L,-5.010634457958779,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2103577,2013,2,geomean,0.7378505542816148,high_cv
ONKNPOPIGWHAQC-UHFFFAOYSA-N,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C,1222-05-5,,,daphnia_acute_ec50,2.684,mg/L,-4.983170977101829,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2466184,2019,1,single,,
ZOMSMJKLGFBRBS-UHFFFAOYSA-N,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,[Na+].CC(C)N1C(=O)c2ccccc2[N-][S]1(=O)=O,50723-80-3,,,daphnia_acute_ec50,249.9999999999999,mg/L,-2.9823741183229533,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2113485,2013,2,geomean,0.848528137423857,high_cv
LBGPXIPGGRQBJW-UHFFFAOYSA-N,Cn1c(-c2ccccc2)cc(-c2ccccc2)[n+]1C,CO[S]([O-])(=O)=O.Cn1c(cc(c2ccccc2)[n+]1C)c3ccccc3,43222-48-6,,,daphnia_acute_ec50,2.53,mg/L,-4.993320542002532,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2104826,2013,1,single,,
PTFJIKYUEPWBMS-UHFFFAOYSA-N,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],CCN(CC(C)=C)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,55283-68-6,,,daphnia_acute_ec50,0.06,mg/L,-6.744415090851802,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2108303,2013,1,single,,
ZZXUZKXVROWEIF-UHFFFAOYSA-N,CCC1COC(=O)O1,CCC1COC(=O)O1,4437-85-8,,,daphnia_acute_ec50,906.9307438730647,mg/L,-2.107061081337349,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2108859,2013,3,geomean,0.002928342294478416,
YTYGAJLZOJPJGH-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)c(Cl)c1F,FC(C(F)(F)F)C(F)(F)Oc1c(Cl)cc(NC(=O)NC(=O)c2c(F)cccc2F)c(F)c1Cl,121451-02-3,,,daphnia_acute_ec50,0.000308,mg/L,-9.234057708105892,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2099153,2013,1,single,,
BMVXCPBXGZKUPN-UHFFFAOYSA-N,CCCCCCN,CCCCCCN,111-26-2,,,daphnia_acute_ec50,8.6,mg/L,-4.0703405401362955,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,199581,2001,1,single,,
FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,50-32-8,,,daphnia_acute_ec50,0.001261769635922648,mg/L,-8.30058226565724,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,237823,2007,2,geomean,0.34910402556160625,
HUHGPYXAVBJSJV-UHFFFAOYSA-N,OCCN1CN(CCO)CN(CCO)C1,OCCN1CN(CCO)CN(CCO)C1,4719-04-4,,,daphnia_acute_ec50,26.1,mg/L,-3.9241173988562355,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2117127,2013,1,single,,
DGBPBDHXEBEPBN-UHFFFAOYSA-N,COP(=S)(OC)Oc1nc(Cl)n(C(C)C)n1,CO[P](=S)(OC)Oc1nn(C(C)C)c(Cl)n1,42509-83-1,,,daphnia_acute_ec50,0.0022,mg/L,-8.112437991158249,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2115860,2013,1,single,,
ZMZDMBWJUHKJPS-UHFFFAOYSA-N,N#CS,[Cu+].[S-]C#N,1111-67-7,,,daphnia_acute_ec50,0.02,mg/L,-6.469696641592711,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2112186,2013,1,single,,
GDLIGKIOYRNHDA-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,[H+].[Cl-].CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,17321-77-6,,,daphnia_acute_ec50,2.74,mg/L,-5.059393380788759,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2215448,2014,1,single,,
KYWIYKKSMDLRDC-UHFFFAOYSA-N,CCCCCCCCCC(C)=O,CCCCCCCCCC(C)=O,112-12-9,,,daphnia_acute_ec50,0.54,mg/L,-5.498481749320908,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2105320,2013,1,single,,
CGSLYBDCEGBZCG-UHFFFAOYSA-N,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,CCCCC(CC)CO[P](=O)(Oc1ccccc1)Oc2ccccc2,1241-94-7,,,daphnia_acute_ec50,0.15,mg/L,-6.382814853706016,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,209010,2002,1,single,,
OLQJQHSAWMFDJE-UHFFFAOYSA-N,O=[N+]([O-])C(CO)(CO)CO,OCC(CO)(CO)[N+]([O-])=O,126-11-4,,,daphnia_acute_ec50,80.0,mg/L,-3.2760252003691166,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2112171,2013,1,single,,
MEFOUWRMVYJCQC-UHFFFAOYSA-N,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,CC[S](=O)(=O)c1cccnc1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,122931-48-0,,,daphnia_acute_ec50,600.0,mg/L,-2.8563833911091043,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2107293,2013,2,geomean,0.6655122646461624,high_cv
RZXMPPFPUUCRFN-UHFFFAOYSA-N,Cc1ccc(N)cc1,Cc1ccc(N)cc1,106-49-0,,,daphnia_acute_ec50,0.12,mg/L,-5.950500750114535,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,199612,2001,1,single,,
ZLKMOIHCHCMSFW-UHFFFAOYSA-N,O=C(O)c1cccc(Cl)n1,OC(=O)c1cccc(Cl)n1,4684-94-0,,,daphnia_acute_ec50,1.6,mg/L,-4.991760460920638,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,601794,2012,1,single,,
BXNANOICGRISHX-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,56-72-4,,,daphnia_acute_ec50,0.000192,mg/L,-9.27542468797502,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109992,2013,1,single,,
MELGLHXCBHKVJG-UHFFFAOYSA-N,CCCCCCCC[N+](C)(C)CCCCCCCC,[Cl-].CCCCCCCC[N+](C)(C)CCCCCCCC,5538-94-3,,,daphnia_acute_ec50,0.1,mg/L,-6.431870991930715,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2115663,2013,1,single,,
RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,Cc1cccc(O)c1,108-39-4,,,daphnia_acute_ec50,20.15,mg/L,-3.729379924866983,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2464137,2019,1,single,,
SFBIZPBTKROSDE-UHFFFAOYSA-N,CCCCCCCCOC(=O)C(C)O,CCCCCCCCOC(=O)C(C)O,5464-71-1,,,daphnia_acute_ec50,40.804411526206316,mg/L,-3.6949814386210935,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,206884,2002,2,geomean,0.13797205486566783,
LOCWBQIWHWIRGN-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1Cl,Nc1ccc(cc1Cl)[N+]([O-])=O,121-87-9,,,daphnia_acute_ec50,1.7492855684535902,mg/L,-4.992677720002057,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,39276,2018,2,geomean,0.04040610178208847,
MLKCGVHIFJBRCD-UHFFFAOYSA-N,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,CCOC(=O)C(Cl)Cc1cc(N2N=C(C)N(C(F)F)C2=O)c(F)cc1Cl,128639-02-1,,,daphnia_acute_ec50,9.8,mg/L,-4.62265424064471,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2106240,2013,1,single,,
BPRYUXCVCCNUFE-UHFFFAOYSA-N,Cc1cc(C)c(O)c(C)c1,Cc1cc(C)c(O)c(C)c1,527-60-6,,,daphnia_acute_ec50,3.3,mg/L,-4.615308492587334,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2455505,2019,1,single,,
OORLZFUTLGXMEF-UHFFFAOYSA-N,Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F,CC1=NN(C(=O)N1C(F)F)c2cc(N[S](C)(=O)=O)c(Cl)cc2Cl,122836-35-5,,,daphnia_acute_ec50,60.4,mg/L,-3.8055299705852987,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2105558,2013,1,single,,
WRXOZRLZDJAYDR-UHFFFAOYSA-N,Cc1cccc(S)c1,Cc1cccc(S)c1,108-40-7,,,daphnia_acute_ec50,0.007,mg/L,-7.24844505990974,,Daphnia pulex,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,100632,2020,1,single,,species_secondary
CHIFOSRWCNZCFN-UHFFFAOYSA-N,CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O,40487-42-1,,,daphnia_acute_ec50,1.1949895397031725,mg/L,-5.371554761497145,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2103272,2013,2,geomean,1.2670091766985723,high_cv
CRDAMVZIKSXKFV-YFVJMOTDSA-N,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO,4602-84-0,,,daphnia_acute_ec50,2.2,mg/L,-5.00431817901312,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2110158,2013,1,single,,
