inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
ZLIBICFPKPWGIZ-UHFFFAOYSA-N,Cc1cc(C)nc(Nc2ccccc2)n1,Cc1cc(C)nc(Nc2ccccc2)n1,53112-28-0,,,daphnia_acute_ec50,3.04,mg/L,-4.816221555231591,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2099194,2013,1,single,,
XOGPDSATLSAZEK-UHFFFAOYSA-N,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,Nc1ccc2C(=O)c3ccccc3C(=O)c2c1,117-79-3,,,daphnia_acute_ec50,378.0,mg/L,-2.7709363785730523,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,199479,2001,1,single,,
YXKMMRDKEKCERS-UHFFFAOYSA-N,Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,CN(C)[S](=O)(=O)n1c(nc(Cl)c1c2ccc(C)cc2)C#N,120116-88-3,,,daphnia_acute_ec50,1.2747482689269416,mg/L,-5.4051805913747595,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2103146,2013,5,geomean,2.1736173871836337,high_cv
MCAHWIHFGHIESP-UHFFFAOYSA-N,O=[Se](O)O,[Na+].[Na+].[O-][Se]([O-])=O,10102-18-8,,,daphnia_acute_ec50,1.2540890004663132,mg/L,-5.015337341339671,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,201310,2001,5,geomean,0.8571664561595931,high_cv
FWCBATIDXGJRMF-FLNNQWSLSA-N,CC1(C)OC[C@@H]2O[C@@]3(C(=O)O)OC(C)(C)O[C@H]3[C@@H]2O1,[Na+].CC1(C)OC[C@@H]2O[C@]3(OC(C)(C)O[C@H]3[C@@H]2O1)C([O-])=O,52508-35-7,,,daphnia_acute_ec50,10000.0,mg/L,-1.4379173583799698,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2107636,2013,1,single,,
YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,CCc1ccccc1,100-41-4,,,daphnia_acute_ec50,2.949932202610765,mg/L,-4.555814312927188,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,181567,2018,2,geomean,0.009587888558461669,
IMHBYKMAHXWHRP-UHFFFAOYSA-N,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,101-05-3,,,daphnia_acute_ec50,1.0217142457654196,mg/L,-5.428354505264572,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2115345,2013,2,geomean,0.104219740321297,
QGLZXHRNAYXIBU-WEVVVXLNSA-N,CNC(=O)O/N=C/C(C)(C)SC,CNC(=O)O\N=C\C(C)(C)SC,116-06-3,,,daphnia_acute_ec50,0.4107,mg/L,-5.66540623389895,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2099883,2013,1,single,,
HFCYZXMHUIHAQI-UHFFFAOYSA-N,O=C(Nc1ccccc1)Nc1cnns1,O=C(Nc1snnc1)Nc2ccccc2,51707-55-2,,,daphnia_acute_ec50,7.54983443527075,mg/L,-4.46456792269738,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2101013,2013,2,geomean,0.38733237695568845,
HUTDUHSNJYTCAR-UHFFFAOYSA-N,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,12771-68-5,,,daphnia_acute_ec50,100.0,mg/L,-3.4084454902238877,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2114320,2013,1,single,,
