inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
CJTZDYDOPZRFTF-UHFFFAOYSA-N,CCCCCCCCCCC(C)c1ccc(S(=O)(=O)O)cc1,[Na+].CCCCCCCCCCC(C)c1ccc(cc1)[S]([O-])(=O)=O,42615-29-2,,,fish_acute_lc50,4.9280000299236715,mg/L,-4.820802025710322,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,126109,2010,373,geomean,0.9230052751098661,high_cv
QGLZXHRNAYXIBU-WEVVVXLNSA-N,CNC(=O)O/N=C/C(C)(C)SC,CNC(=O)O\N=C\C(C)(C)SC,116-06-3,,,fish_acute_lc50,0.6858097984513332,mg/L,-5.442727250982506,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2108436,2013,89,geomean,3.5197775444290267,"extreme_variance,high_cv"
ZOCSXAVNDGMNBV-UHFFFAOYSA-N,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,Nc1n(nc(C#N)c1[S](=O)C(F)(F)F)c2c(Cl)cc(cc2Cl)C(F)(F)F,120068-37-3,,,fish_acute_lc50,0.1737109153149877,mg/L,-6.399598322496741,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2107803,2013,76,geomean,0.6720525008877619,high_cv
ZPANWZBSGMDWON-UHFFFAOYSA-N,Oc1ccc2ccccc2c1Cc1c(O)ccc2ccccc12,Oc1ccc2ccccc2c1Cc3c(O)ccc4ccccc34,1096-84-0,,,fish_acute_lc50,2.5439929245184625,mg/L,-5.071771846328235,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,228107,2005,14,geomean,0.7495331880577404,high_cv
NPWPEPVYKMPDKK-UHFFFAOYSA-N,[O-][Cl+]O,[O-][Cl]=O,10049-04-4,,,fish_acute_lc50,20.67165238640661,mg/L,-3.5169197572104043,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2003243,2012,45,geomean,1.0405813317362997,high_cv
BACHBFVBHLGWSL-UHFFFAOYSA-N,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,51338-27-3,,,fish_acute_lc50,0.46258705174131537,mg/L,-5.866319822007331,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2116782,2013,54,geomean,3.045097814615773,"extreme_variance,high_cv"
BZSSHIWHSJYWAD-UHFFFAOYSA-N,COC(=O)C=C(CC(=O)OC)OP(=O)(OC)OC,COC(=O)C\C(O[P](=O)(OC)OC)=C\C(=O)OC,122-10-1,,,fish_acute_lc50,0.51,mg/L,-5.742756627130066,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,601187,2012,5,single,,
OJPDDQSCZGTACX-UHFFFAOYSA-N,OCCN(CCO)c1ccccc1,OCCN(CCO)c1ccccc1,120-07-0,,,fish_acute_lc50,735.0,mg/L,-2.3916557598477546,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,102728,2022,2,single,,
WYKYKTKDBLFHCY-UHFFFAOYSA-N,Nc1cnn(-c2ccccc2)c(=O)c1Cl,NC1=C(Cl)C(=O)N(N=C1)c2ccccc2,1698-60-8,Chloridazon,,fish_acute_lc50,37.416573867739494,mg/L,-3.7713981884404824,,Rasbora heteromorpha,,in_vivo,aquatic,96.0,mortality,EPA Williams Ensemble,Williams et al. (2017),2320868,1969,2,geomean,0.09428090415819572,
NJPPVKZQTLUDBO-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,FC(OC(F)(F)F)C(F)(F)Oc1ccc(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl,116714-46-6,,,fish_acute_lc50,3.8865175469046354,mg/L,-5.102415336199367,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2108945,2013,11,geomean,1.6537128588480583,high_cv
GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O,CCCCCCCCCC(O)=O,52627-73-3,,,fish_acute_lc50,41.230699581511644,mg/L,-3.62067706432987,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,194789,2000,4,geomean,0.314885209482014,
FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,50-32-8,,,fish_acute_lc50,1.035349648877088,mg/L,-5.386475297146347,,Danio rerio,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Danio;Danio rerio,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2689447,2022,17,single,,
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,[Tl+].CC([O-])=O,563-68-8,,,fish_acute_lc50,27.543037653096267,mg/L,-3.3382923271059264,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2680394,2022,70,geomean,1.3031042710592855,high_cv
KRKNYBCHXYNGOX-UHFFFAOYSA-N,O=C(O)CC(O)(CC(=O)O)C(=O)O,[Cu++].OC(=O)CC(O)(CC(O)=O)C(O)=O,10402-15-0,,,fish_acute_lc50,22.5,mg/L,-3.9311797848311336,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2108467,2013,3,single,,
WVRFSLWCFASCIS-UHFFFAOYSA-N,CCC1CCC(CCC(=O)O)C1,[Zn++].CCC1CCC(CCC([O-])=O)C1.CCC2CCC(CCC([O-])=O)C2,12001-85-3,,,fish_acute_lc50,92.0,mg/L,-3.2669948100374504,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2100703,2013,3,single,,
BVKZGUZCCUSVTD-UHFFFAOYSA-N,O=C(O)O,[Cd++].[O-]C([O-])=O,513-78-0,,,fish_acute_lc50,1817.6473445224572,mg/L,-1.5328848225192724,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,119201,2011,29,geomean,0.507873477146372,high_cv
IMEVJVISCHQJRM-UHFFFAOYSA-N,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1,COC(=O)c1cccc(C)c1[S](=O)(=O)NC(=O)Nc2nc(OCC(F)(F)F)nc(n2)N(C)C,126535-15-7,,,fish_acute_lc50,697.4238309665081,mg/L,-2.8485600131658417,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2105579,2013,6,geomean,0.12121830534626529,
UPJMCYOGPGHMHO-UHFFFAOYSA-N,COC(C)(C)CCCC(C)C=CC=C(C)CC(=O)OC(C)C,COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C,40596-69-8,,,fish_acute_lc50,11.256962845129992,mg/L,-4.440291670300597,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109605,2013,47,geomean,1.9125282568144009,"extreme_variance,high_cv"
OSUHJPCHFDQAIT-UHFFFAOYSA-N,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,100646-51-3,,,fish_acute_lc50,1.6422483044146865,mg/L,-5.355206473912719,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2114007,2013,10,geomean,1.7196441362757673,high_cv
